01-24-2019,  14:54:24,null162,159,-96585.3,166,-33339.56,11,
01-24-2019,  14:54:24,154,169,-24747.99,162,-50642.73,11,
01-24-2019,  14:54:24,161,172,-21222.29,165,-36553.14,11,
01-24-2019,  14:54:24,164,159,-97777.72,160,-76929.6,11,
01-24-2019,  14:54:24,166,150,68775.93,165,-37688.33,11,
01-24-2019,  14:54:24,161,186,-11541.22,161,-62249.53,11,
01-24-2019,  14:54:24,160,168,-27738.37,159,-95392.89,11,
01-24-2019,  14:54:24,149,163,-42626.77,159,-88834.63,11,
01-24-2019,  14:54:24,174,160,-81620.42,161,-67275.9,11,
01-24-2019,  14:54:24,159,151,81160.14,160,-74584.18,11,
01-24-2019,  14:54:25,162,164,-41012.65,162,-53273.52,11,
01-24-2019,  14:54:25,172,165,-39050.56,164,-43544.29,11,
01-24-2019,  14:54:25,159,184,-12192.4,162,-52286.98,11,
01-24-2019,  14:54:25,158,160,-74115.1,164,-39999.99,11,
01-24-2019,  14:54:25,160,166,-32927.96,163,-45773.71,11,
01-24-2019,  14:54:25,163,173,-20271.34,163,-46631.97,11,
01-24-2019,  14:54:25,150,155,1064524.5,158,-122676.47,11,
01-24-2019,  14:54:25,164,168,-28431.83,163,-46918.06,11,
01-24-2019,  14:54:25,164,180,-14613.2,164,-41518.97,11,
01-24-2019,  14:54:25,164,152,109003.1,165,-37234.25,11,
01-24-2019,  14:54:26,163,164,-41265.81,161,-63022.82,11,
01-24-2019,  14:54:26,158,170,-23662.35,168,-27391.64,11,
01-24-2019,  14:54:26,160,158,-130854.9,164,-40506.32,11,
01-24-2019,  14:54:26,160,161,-61862.89,160,-75053.27,11,
01-24-2019,  14:54:26,155,158,-126765.69,164,-39240.49,11,
01-24-2019,  14:54:26,159,159,-94796.68,164,-40253.16,11,
01-24-2019,  14:54:26,162,143,28952.08,164,-41012.65,11,
01-24-2019,  14:54:26,165,149,57527.75,159,-98373.92,11,
01-24-2019,  14:54:26,163,148,49056.1,162,-53602.37,11,
