date,pd1r1,pd2r1,pd3r1,pd1ir1,pd2ir1,pd3ir1,pd1r2,pd2r2,pd3r2,pd1ir2,pd2ir2,pd3ir2,pd1r3,pd2r3,pd3r3,pd1ir3,pd2ir3,pd3ir3
2:19:21 PM,6.451612903,7.52688172,1.075268817,36.55913978,75.2688172,250.5376344,6.451612903,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,9.677419355,13.97849462,8.602150538
2:19:25 PM,6.451612903,7.52688172,1.075268817,36.55913978,75.2688172,249.4623656,5.376344086,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,9.677419355,13.97849462,8.602150538
2:19:29 PM,6.451612903,7.52688172,1.075268817,37.6344086,75.2688172,249.4623656,5.376344086,3.225806452,0,16.12903226,35.48387097,35.48387097,5.376344086,1.075268817,0,9.677419355,15.05376344,8.602150538
2:19:33 PM,6.451612903,8.602150538,1.075268817,37.6344086,75.2688172,249.4623656,5.376344086,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,9.677419355,13.97849462,7.52688172
2:19:37 PM,6.451612903,8.602150538,1.075268817,36.55913978,75.2688172,249.4623656,6.451612903,3.225806452,0,17.20430108,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,15.05376344,8.602150538
2:19:41 PM,6.451612903,7.52688172,1.075268817,37.6344086,76.34408602,248.3870968,5.376344086,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,9.677419355,15.05376344,8.602150538
2:19:45 PM,6.451612903,7.52688172,1.075268817,37.6344086,76.34408602,249.4623656,5.376344086,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,8.602150538,15.05376344,8.602150538
2:19:49 PM,6.451612903,7.52688172,1.075268817,36.55913978,75.2688172,249.4623656,5.376344086,3.225806452,0,16.12903226,35.48387097,35.48387097,4.301075269,1.075268817,0,8.602150538,13.97849462,8.602150538
2:19:53 PM,5.376344086,7.52688172,1.075268817,36.55913978,74.19354839,247.311828,5.376344086,3.225806452,0,16.12903226,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:19:57 PM,6.451612903,7.52688172,1.075268817,36.55913978,75.2688172,248.3870968,5.376344086,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:01 PM,6.451612903,7.52688172,1.075268817,36.55913978,74.19354839,247.311828,5.376344086,3.225806452,0,16.12903226,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:05 PM,6.451612903,6.451612903,1.075268817,36.55913978,74.19354839,247.311828,5.376344086,3.225806452,0,16.12903226,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:09 PM,6.451612903,7.52688172,1.075268817,36.55913978,74.19354839,247.311828,5.376344086,3.225806452,0,17.20430108,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,15.05376344,7.52688172
2:20:13 PM,6.451612903,7.52688172,1.075268817,36.55913978,73.11827957,247.311828,5.376344086,3.225806452,0,17.20430108,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:17 PM,6.451612903,7.52688172,1.075268817,36.55913978,73.11827957,247.311828,5.376344086,3.225806452,0,16.12903226,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:21 PM,6.451612903,7.52688172,1.075268817,36.55913978,74.19354839,247.311828,5.376344086,3.225806452,0,17.20430108,33.33333333,33.33333333,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:25 PM,6.451612903,7.52688172,0,35.48387097,73.11827957,246.2365591,5.376344086,3.225806452,0,17.20430108,34.40860215,34.40860215,5.376344086,1.075268817,0,8.602150538,13.97849462,7.52688172
2:20:29 PM,6.451612903,7.52688172,1.075268817,36.55913978,75.2688172,247.311828,5.376344086,3.225806452,0,16.12903226,34.40860215,34.40860215,5.376344086,1.075268817,0,9.677419355,13.97849462,8.602150538
2:20:33 PM,6.451612903,7.52688172,1.075268817,36.55913978,74.19354839,247.311828,5.376344086,3.225806452,0,17.20430108,35.48387097,35.48387097,5.376344086,1.075268817,0,9.677419355,13.97849462,7.52688172
